floor,sq_mt_built,sq_mt_useful,n_rooms,built_year,has_terrace,has_balcony,is_renewal_needed,has_garden,has_lift,has_ac,has_pool,has_parking,house_type_Casa,house_type_Dúplex,house_type_Piso,house_type_Ático,heating_type_central,heating_type_individual,heating_type_unknown,orientation,price_category,is_exterior_0,is_exterior_1,is_exterior_2,price_per_m2,is_district__1,is_district__2,is_district__3,is_district__4,is_district__5,is_district__6,is_district__7,is_district__8,is_district__9,is_district__10,is_district__11,is_district__12,is_district__13,is_district__14,is_district__15,is_district__17,is_district__18,is_district__19,is_district__20,is_district__21,is_ernegy_certificate__A,is_ernegy_certificate__B,is_ernegy_certificate__C,is_ernegy_certificate__D,is_ernegy_certificate__E,is_ernegy_certificate__F,is_ernegy_certificate__G
3.0,-0.6175355198221978,-0.5084543443993236,-0.665855326481734,1960,2,2,0,0,0,1.0,0.0,0,0,0,1,0,0,0,1,west,Low,0,1,0,1308.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4.0,-0.57270479870644,-0.16655657970441226,-0.003806279590717332,1964,1,2,1,0,1,0.0,0.0,0,0,0,1,0,0,0,1,unknown,Low,0,1,0,1796.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,-0.393381914243409,-0.6164220595661376,-0.665855326481734,1953,2,2,0,0,1,0.0,0.0,0,0,0,1,0,0,1,0,unknown,Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,-0.6175355198221978,-0.16655657970441226,-0.665855326481734,1955,2,2,0,0,1,0.0,0.0,0,0,0,1,0,0,0,1,south,Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4.0,-0.28877689830664094,0.03138423143474689,-0.665855326481734,2003,2,2,0,0,1,1.0,1.0,1,0,0,1,0,0,0,1,all,Medium-Low,0,1,0,1827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3.0,-0.15428473495936768,0.4632550921020032,0.6582427673002993,1981,1,1,0,0,0,0.0,0.0,1,0,0,1,0,0,1,0,east,Medium-Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.0,-0.19911545607512543,0.21133042337943703,1.320291814191316,2002,1,1,0,0,0,1.0,1.0,1,0,0,1,0,0,1,0,south,Medium-Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,-0.16175652181199396,0.21133042337943703,-0.003806279590717332,1953,1,2,0,0,0,1.0,0.0,0,0,0,1,0,0,0,1,south,Medium-Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3.0,-0.4680997827696719,-0.3285081524546334,-0.003806279590717332,2007,2,2,0,0,1,1.0,1.0,1,0,0,1,0,0,0,1,unknown,Medium-Low,0,1,0,2197.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7.0,-0.4606279959170456,-0.16655657970441226,-0.665855326481734,1950,1,2,1,0,0,0.0,0.0,0,0,0,1,0,0,1,0,west,Low,0,1,0,1827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2.0,-0.5801765855590663,-0.16655657970441226,-0.665855326481734,1963,1,2,1,0,0,0.0,0.0,0,0,0,1,0,0,0,1,unknown,Low,0,1,0,1617.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6.0,-0.18417188236987284,0.175341184990499,-0.003806279590717332,2003,2,2,0,0,1,1.0,1.0,1,0,0,1,0,0,0,1,unknown,Medium-Low,0,0,1,2197.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4.0,-0.17670009551724655,0.2833089001573131,-0.003806279590717332,1992,2,2,0,0,1,1.0,0.0,0,0,0,1,0,0,0,1,east,Medium-Low,0,1,0,1827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3.0,-0.28130511145401466,0.03138423143474689,-0.003806279590717332,1983,1,2,0,0,1,0.0,0.0,0,0,0,1,0,0,0,1,south,Medium-Low,0,1,0,1796.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3.0,-0.6175355198221978,-0.16655657970441226,-0.003806279590717332,1960,1,2,0,0,0,0.0,0.0,0,0,0,1,0,0,1,0,unknown,Low,0,1,0,1308.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.0,-0.23647439033825687,-0.16655657970441226,-0.003806279590717332,1963,1,2,0,0,2,1.0,0.0,0,0,0,1,0,0,1,0,unknown,Low,0,1,0,1827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,-0.23647439033825687,-0.004605006954191137,-0.003806279590717332,1971,1,2,0,0,0,1.0,0.0,0,0,0,1,0,0,1,0,unknown,Medium-Low,0,1,0,1827.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
